Poste budgétaire;Équipe;Enveloppe annuelle;Consommé à date;Période;Responsable
Campagnes marketing digital;Marketing;45000;28400;2026;Julie R.
Licences logicielles SaaS;Technique;32000;18900;2026;Thomas B.
Recrutement & onboarding;RH;28000;15600;2026;Emma B.
Loyer & charges locatives;Direction;80000;34200;2026;Samir L.
Formation continue équipes;RH;18000;7800;2026;Emma B.
Frais de déplacement commerciaux;Commercial;25000;14600;2026;Sophie M.
Évènements & salons pro;Marketing;15000;12400;2026;Julie R.
Matériel informatique;Technique;22000;9800;2026;Thomas B.
Conseil juridique & expertise;Direction;12000;4500;2026;Samir L.
Restauration & team building;RH;8000;3200;2026;Emma B.
